len,count
8,5.57E-05
9,0.000158188
10,0.000360936
11,0.000677312
12,0.001165244
13,0.001831416
14,0.002744896
15,0.003983664
16,0.005654664
17,0.007639813
18,0.009988125
19,0.012839965
20,0.016139633
21,0.019847026
22,0.023951002
23,0.02875457
24,0.033709643
25,0.039043475
26,0.044894203
27,0.05117048
28,0.057658416
29,0.064569673
30,0.071599013
31,0.079109602
32,0.086642471
33,0.094458295
34,0.102833348
35,0.11095218
36,0.119369565
37,0.128185762
38,0.137126726
39,0.146185775
40,0.155440888
41,0.164876469
42,0.174234069
43,0.183598354
44,0.193187667
45,0.202888379
46,0.212366292
47,0.221893221
48,0.231602846
49,0.241441694
50,0.250961939
51,0.261005764
52,0.270374505
53,0.279930397
54,0.289822718
55,0.299505607
56,0.309083779
57,0.318252
58,0.327487061
59,0.336699842
60,0.34593713
61,0.355005091
62,0.363990616
63,0.3730764
64,0.382019593
65,0.39085807
66,0.39971437
67,0.408425851
68,0.416847692
69,0.425345284
70,0.433820597
71,0.441934974
72,0.450120646
73,0.458112483
74,0.466019655
75,0.4737575
76,0.481297053
77,0.488945777
78,0.496411806
79,0.503744154
80,0.511205727
81,0.518317503
82,0.525297828
83,0.5324252
84,0.538957697
85,0.545906829
86,0.552693318
87,0.559455299
88,0.565949919
89,0.572070235
90,0.578446772
91,0.5846874
92,0.590604969
93,0.596682953
94,0.602589382
95,0.60852923
96,0.614163843
97,0.619809595
98,0.625281564
99,0.630965192
100,0.63625892
101,0.641514773
102,0.646552281
103,0.651654402
104,0.656890202
105,0.661856414
106,0.666624335
107,0.671425675
108,0.676218103
109,0.681030584
110,0.685459848
111,0.689893568
112,0.694249309
113,0.698720905
114,0.702851617
115,0.707200674
116,0.711262318
117,0.715328418
118,0.719332135
119,0.723375955
120,0.727125679
121,0.730888772
122,0.734580568
123,0.738368168
124,0.742068876
125,0.745671553
126,0.749118269
127,0.752489233
128,0.755969369
129,0.759224478
130,0.762533058
131,0.765881742
132,0.76898089
133,0.772227087
134,0.775241571
135,0.778369683
136,0.781152455
137,0.78403326
